date,year,threshold_c,component_count_28c,canonical_area_km2,canonical_sst_area_integral_c_km2,canonical_mean_sst_c,canonical_centroid_lon_360,canonical_centroid_lat,lcc_area_km2,lcc_sst_area_integral_c_km2,lcc_mean_sst_c,lcc_centroid_lon_360,lcc_centroid_lat,yan_gt28_area_km2,yan_gt28_sst_area_integral_c_km2,yan_gt28_mean_sst_c,yan_gt28_centroid_lon_360,yan_gt28_centroid_lat,yan_ge28_sensitivity_area_km2,yan_ge28_sensitivity_sst_area_integral_c_km2,yan_ge28_sensitivity_mean_sst_c,yan_ge28_sensitivity_centroid_lon_360,yan_ge28_sensitivity_centroid_lat,lcc_minus_yan_gt28_area_km2,lcc_minus_yan_gt28_mean_sst_c,canonical_minus_yan_gt28_area_km2,lcc_yan_gt28_centroid_distance_km,lcc_yan_gt28_intersection_area_km2,lcc_yan_gt28_union_area_km2,lcc_yan_gt28_area_jaccard,lcc_area_outside_yan_box_km2,lcc_area_outside_yan_box_fraction,yan_gt28_area_outside_lcc_km2,yan_gt28_area_outside_lcc_fraction,canonical_area_outside_yan_box_km2,canonical_area_outside_yan_box_fraction,yan_operator_sensitivity_area_km2,yan_operator_sensitivity_mean_sst_c
2002-01-11,2002,28,43,29588631.5178,860234067.818,29.0731278769,164.231882091,-6.08260841306,28226299.5083,821444058.846,29.1020811497,162.697699442,-6.60789293375,24664290.0821,719006867.714,29.1517357816,162.608341831,-5.06267639078,24738632.6706,721088460.193,29.1482746761,,,3562009.4262,-0.0496546319251,4924341.4357,172.104551043,24351783.9152,28538805.6752,0.853286720975,3814486.51824,0.135139447419,312506.166933,0.0126703896967,4913749.22708,0.166068823566,74342.5885139,-0.00346110556838
2002-01-12,2002,28,44,30159012.9903,877726587.437,29.1032928604,163.552904441,-5.9936982079,29030169.5785,845729988.708,29.1327953294,162.493164353,-6.40850726969,25748196.1274,751174889.35,29.1738840901,162.777803649,-4.98233227639,25811216.2031,752939451.47,29.1710179615,,,3281973.45105,-0.0410887606612,4410816.86287,161.680569618,25452972.5685,29325393.1373,0.867949917989,3524841.01643,0.12141992512,295223.558873,0.0114657957945,4411547.16705,0.146276244799,63020.0757221,-0.00286612857227
2002-01-13,2002,28,35,29924276.9304,871816381.283,29.1340834504,163.019420845,-5.99271833148,29187011.25,851018817.349,29.157449869,162.887734449,-6.19517590736,26103384.6111,762446888.195,29.2087367043,163.151259564,-4.91255606202,26192996.0434,764956008.301,29.2046013764,,,3083626.63896,-0.0512868352376,3820892.31931,145.572398423,25785653.737,29504742.1241,0.873949469837,3319365.77007,0.113727498223,317730.874055,0.012172018257,3788133.70145,0.126590651138,89611.4323471,-0.00413532790292
2002-01-14,2002,28,40,29086292.901,847607506.868,29.141132208,162.531057837,-6.02221354563,28675353.4279,836044311.289,29.1555015492,162.154887454,-6.03039298187,25856516.4759,755205680.842,29.2075570794,163.300738607,-4.91950153829,25939166.5873,757519883.963,29.2037094335,,,2818836.952,-0.0520555301916,3229776.42518,177.043386361,25706022.3919,28825847.5118,0.891769873599,2895691.21563,0.100981884074,150494.083905,0.00582035418597,3207799.43333,0.110285605809,82650.111464,-0.00384764587068
2002-01-15,2002,28,46,28580368.5443,832292599.14,29.1211289963,162.834920024,-5.91306115237,27895644.2579,812999870.663,29.1443303172,162.215710648,-6.00221468452,25308441.4569,738796495.901,29.191702585,163.809939588,-5.04106839883,25408690.6918,741603474.479,29.1870007578,,,2587202.80097,-0.047372267834,3271927.08735,206.289336145,25157637.3692,28046448.3456,0.896999044557,2646819.88327,0.0948829092743,150804.08771,0.00595864774868,3228517.33822,0.112962760897,100249.23492,-0.00470182717597
2002-01-16,2002,28,40,28245897.4516,823193641.219,29.1438302723,163.805799336,-5.72189491939,27511148.7956,802451386.245,29.1682252968,162.870582738,-5.98138834384,24879488.0185,726945177.245,29.2186550103,164.345151067,-5.03537954189,24972038.6667,729536595.394,29.2141384663,,,2631660.77714,-0.0504297134668,3366409.43314,194.168318329,24740011.7981,27650625.016,0.894736078613,2692074.08696,0.097853932126,139476.220418,0.00560607277427,3331490.8417,0.117946007819,92550.6481776,-0.004516543988
2002-01-17,2002,28,49,27524838.681,803941371.753,29.2078504463,165.046422916,-6.12018022646,26460388.6112,773924839.473,29.2484305822,164.640865271,-6.67216960321,24277004.7189,711167711.83,29.2938820116,165.772857798,-5.43719826403,24382452.962,714120262.636,29.2882862832,,,2183383.89234,-0.0454514293999,3247833.96212,185.807404597,23695202.256,27042191.074,0.876230856854,2684103.29604,0.101438544062,581802.462844,0.0239651666086,3196935.37773,0.116147288447,105448.243095,-0.00559572841622
2002-01-18,2002,28,48,27887553.2699,814247609.887,29.1975277288,164.646834491,-5.81349544118,27107931.6182,792217750.889,29.2245739013,163.968722277,-6.14002647841,24674480.8566,722600813.625,29.2853502298,165.15042165,-5.17323510298,24771443.5398,725315768.754,29.2803189927,,,2433450.76158,-0.0607763284887,3213072.41333,169.275950877,24411869.2622,27370543.2126,0.89190298755,2613454.82531,0.0964092304097,262611.594414,0.010643044364,3170659.38887,0.113694426979,96962.6831674,-0.00503123715397
2002-01-19,2002,28,55,28658635.5331,834232748.145,29.1092975163,166.118867532,-5.96136515168,27559926.7071,803121469.883,29.1409145757,164.994627415,-6.30995639431,25185569.0948,735493116.94,29.2029580182,165.500580084,-5.33292066049,25281015.257,738165609.48,29.1984163601,,,2374357.61224,-0.0620434425065,3473066.43824,122.210780971,24834053.7108,27911442.0911,0.889744558153,2642632.67551,0.0958867816885,351515.384058,0.0139570157313,3428340.01719,0.11962677055,95446.1621141,-0.00454165803276
2002-01-20,2002,28,47,28981767.5561,842839508.163,29.0817151346,166.16257553,-6.43204623506,27799926.7159,809352302.725,29.1134689309,164.954902094,-6.94880345642,24850805.2458,725259450.252,29.1845452523,164.895238478,-5.66422155372,24968568.0184,728556807.886,29.1789584148,,,2949121.47014,-0.0710763213965,4130962.31033,142.99130924,24448401.3204,28202330.6413,0.866892939856,3258119.46836,0.117198850977,402403.925368,0.0161927922008,4063934.23552,0.140223822707,117762.772644,-0.00558683754433
